videoId,author,publishedAt,likeCount,search_keyword,video_title,teks_bersih,hashtags,text,teks_bersih_lower,label sentiment,clean_teks,stem_teks
b5ibmpuS0L4,@deadewi5904,2025-06-06T09:37:47Z,0,Mobil LCGC,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,Wah ini sih mobil kesukaan aku nih yang manual yang tahun 20024 nih yang warna putih yang terbaru nih aku suka banget nih mobilnya nih nama aku suka dari dulu,#automobile,Wah ini sih mobil kesukaan aku nih yang manual yang tahun 20024 nih yang warna putih yang terbaru nih aku suka banget nih mobilnya nih nama aku suka dari dulu,wah ini sih mobil kesukaan aku nih yang manual yang tahun 2024 nih yang warna putih yang terbaru nih aku suka banget nih mobilnya nih nama aku suka dari dulu,negatif,mobil kesukaan manual 2024 warna putih terbaru suka mobilnya nama suka,mobil suka manual 2024 warna putih baru suka mobil nama suka
b5ibmpuS0L4,@user-gs7ey4hs8k,2025-04-15T13:18:52Z,0,Mobil LCGC,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,Mobil Toyota Agya A,#automobile,Mobil Toyota Agya A,mobil toyota agya ,netral,mobil toyota agya,mobil toyota agya
b5ibmpuS0L4,@aldiputra716,2025-03-04T13:54:29Z,0,Mobil LCGC,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,Harganya berapa ni bos,#automobile,Harganya berapa ni bos,harganya berapa ni bos,netral,harganya ni,harga ni
b5ibmpuS0L4,@wisnukeanuzen,2024-11-03T08:30:43Z,2,Mobil LCGC,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,Sayang banget buat videonya terlalu cepat...terlalu pendek untuk lihat interiornya...,#automobile,Sayang banget buat videonya terlalu cepat...terlalu pendek untuk lihat interiornya...,sayang banget buat videonya terlalu cepat terlalu pendek untuk lihat interiornya ,netral,sayang videonya cepat pendek lihat interiornya,sayang video cepat pendek lihat interior
6b1MGWf2YmE,@xizedit7684,2025-06-08T10:11:37Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Lah emang berapa harga pasang plat begitu?,#exoticcarsbandung #shorts,Lah emang berapa harga pasang plat begitu?,lah emang berapa harga pasang plat begitu?,netral,harga pasang,harga pasang
6b1MGWf2YmE,@AntonTampubolon-l1j,2025-06-07T12:30:34Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Di dubai udah disembah itu mah,#exoticcarsbandung #shorts,Di dubai udah disembah itu mah,di dubai udah disembah itu mah,positif,dubai disembah,dubai sembah
6b1MGWf2YmE,@buattrading5750,2025-06-07T11:26:53Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Pas di tilang , cuma beli 150rb an sama tukang Plat ",#exoticcarsbandung #shorts,"Pas di tilang , cuma beli 150rb an sama tukang Plat 😂","pas di tilang , cuma beli 150rb an sama tukang plat ",netral,pas tilang beli 150rb tukang,pas tilang beli 150rb tukang
6b1MGWf2YmE,@wandysyaputra-y6t,2025-06-06T11:44:26Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,Buat apa tpi mobil kodok wkwkw,#exoticcarsbandung #shorts,Buat apa tpi mobil kodok wkwkw,buat apa tpi mobil kodok wkwkw,positif,tpi mobil kodok,tpi mobil kodok
6b1MGWf2YmE,@zte-cc4xb,2025-06-05T12:20:19Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,"Wow mobil mu bagus 

Wow plate mu bagus",#exoticcarsbandung #shorts,"Wow mobil mu bagus ✖️

Wow plate mu bagus✔️","wow mobil mu bagus 

wow plate mu bagus",negatif,wow mobil mu bagus wow plate mu bagus,wow mobil mu bagus wow plate mu bagus
6b1MGWf2YmE,@cacakin-dk2ky,2025-05-21T06:33:02Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,tatataapi bangg,#exoticcarsbandung #shorts,tatataapi bangg 😂,tatataapi bang,netral,tatataapi bang,tatataapi bang
